conhecimento,item,tipoembalagem,quantidade,marca,contramarca,tipobloqueio1,motivobloqueio1,justificativabloqueio1,cpfresponsavelbloqueio1,nomeresponsavelbloqueio1,databloqueio1,horabloqueio1,desbloqueadopelotransportador1,cpfresponsaveldesbloqueio1,nomeresponsaveldesbloqueio1,datadesbloqueio1,horadesbloqueio1,justificativadesbloqueio1,tipobloqueio2,motivobloqueio2,justificativabloqueio2,cpfresponsavelbloqueio2,nomeresponsavelbloqueio2,databloqueio2,horabloqueio2,desbloqueadopelotransportador2,cpfresponsaveldesbloqueio2,nomeresponsaveldesbloqueio2,datadesbloqueio2,horadesbloqueio2,justificativadesbloqueio2,tipobloqueio3,motivobloqueio3,justificativabloqueio3,cpfresponsavelbloqueio3,nomeresponsavelbloqueio3,databloqueio3,horabloqueio3,desbloqueadopelotransportador3,cpfresponsaveldesbloqueio3,nomeresponsaveldesbloqueio3,datadesbloqueio3,horadesbloqueio3,justificativadesbloqueio3,tipobloqueio4,motivobloqueio4,justificativabloqueio4,cpfresponsavelbloqueio4,nomeresponsavelbloqueio4,databloqueio4,horabloqueio4,desbloqueadopelotransportador4,cpfresponsaveldesbloqueio4,nomeresponsaveldesbloqueio4,datadesbloqueio4,horadesbloqueio4,justificativadesbloqueio4,quantidadebloqueiosativos,quantidadebloqueiosinativos,indicadorhistoricobloqueio,indicadorhistoricopedidoretificacao,pesobrutoitem(kg),volumeitem(m3),codigomercadoriaperigosa,codigoclassemercadoriaperigosa
151707150237457,0001,outros,0001000,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"002000000,000","0000000000,000",,
151707148300783,0001,outros,0000750,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"001500000,000","0000000000,000",,
151707143972007,0001,outros,0006918,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"013836000,000","0000000000,000",,
151707143972180,0001,outros,0000966,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"001932000,000","0000000000,000",,
151707143972260,0001,outros,0000134,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000268000,000","0000000000,000",,
151707143972341,0001,outros,0001420,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"002840000,000","0000000000,000",,
151707143972422,0001,outros,0005812,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"011624000,000","0000000000,000",,
151707146940009,0002,outros,0000002,caterpillar inc.,pallet and piece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000002500,000","0000000007,910",,
151707146895100,0001,outros,0000008,geodis,forno e boxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000056000,000","0000000345,000",,
151707146896425,0002,outros,0000003,caterpillar inc.,box pallet piece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,00,,,"000004537,000","0000000012,850",,
